cid,replyToCid,type,publishedTimeText,comment,author,authorIsChannelOwner,replyCount,voteCount,hasCreatorHeart,videoId,pageUrl,commentsCount,title
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5WU-r6Nja,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago (edited),AGEN INTEL MOSSAD BERNAMA GEORGE SOROS TERUS BERUSAHA MENGGAGALKAN PROGRAM MAKAN BERGIZI GRATIS KARENA TAKUT INDONESIA JADI NEGARA MAJU,@Noor.M-mg8mo,FALSE,0,2,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5ajJP2Ai3,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Nanti ada lawan Bocor Kasar dr Cokro TV😂,@tonidate6250,FALSE,0,1,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5gm-O2Yg7,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,"memang menyuarakan kebenaran tapi kebenarana yang dikasih tempo memecah belah dan membuat kepercayaan sipil menurun , kalo resesi gr gr media media pengkhianat gini apa ga kasian sama anak istri dirumah pegawai tempo😢, eh lupa udah makan duit haram ya karyawan tempo hehe😅",@yosurekusi,FALSE,0,2,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5jsCYvhBr,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Kita jg di madiun jawa timur....di kabupaten ku blm ada ....Yg sklh di kodya pun jg blm dpt makan siang gratis......cuman omon omon di wowo...​ @charzy-qb3vg ,@lirafauzi4770,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5jzDaqUzm,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,​ @Ninety_4 lha...ini yg fitnah muncul...,@lirafauzi4770,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5m4NQ7tJV,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,"Kalau kesulitan menyediakan dapur, lebih baik dapurnya di serahkan ke setiap rumah yg memiliki anak yg sekolah.....simpel kan😂",@EddiCell,FALSE,0,2,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH67d1hbgyD,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,"kalian tau kenapa indonesia susah/lama untuk maju ? 
Tapi mohon maaf sebelumnya 🙏.   Yang mengkritik tolol, yang di kritik bodoh , baru tau salah belum tau memperbaiki 🙏,, tapi ( sebagian ) besar 😂 semoga kalian masuk dalam yg cerdas 😂.",@danstv5318,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH6E_VRQcwL,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,"nampak majalah tempo jon torus, yang diliput prabowo terussss... ijazah mulyono dong di posting gimana ceritanya tempo",@muhammadikhsan1681,FALSE,0,1,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH6EpbBKtuW,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,"malas gua belangganan, yang diberitakan engga jelas, yang viral apa yang dibahas apa, kocak kocak majalah jon torusss, pantesan dibilang pendana asing, emang iya kalau kayak temponya gini, mungkin pendukung mulyono hahaha",@muhammadikhsan1681,FALSE,0,1,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH6LXHjdbzJ,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Jurnalis micin propokator,@joniiskandar6397,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
